Timestamp,User,Action,Record Type Name,Record Type URL Stub,Record Identifier,View,Filters,Environment,Site URL Stub
12 Dec 2017 10:03:24 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 10:03:33 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record Dashboard,Incident,B_qSSQ,659,summary,N/A,Site,incident-detail
12 Dec 2017 10:07:37 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Project,oTYUaQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 10:07:44 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 10:07:58 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Project,oTYUaQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 10:30:43 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 10:30:48 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,659,summary,N/A,Site,incident-detail
12 Dec 2017 10:57:13 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 10:57:30 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Record Dashboard,Incident,B_qSSQ,660,summary,N/A,Site,incident-detail
12 Dec 2017 10:57:53 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Related Action List,Incident,B_qSSQ,660,N/A,N/A,Site,incident-detail
12 Dec 2017 10:58:00 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Related Action List,Incident,B_qSSQ,660,N/A,N/A,Site,incident-detail
12 Dec 2017 12:17:09 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:45:36 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:45:43 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,660,summary,N/A,Site,incident-detail
12 Dec 2017 12:45:43 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,659,summary,N/A,Site,incident-detail
